,month,account_id,region,category,spend_level,revenue,live_ad,new_AA,paid_ad,listing_fee,bump_feature,multi_bump_feature,sa_feature,other_feature,shop_feature,adview_received,adview_per_live_ad_per_day,lead_received,lead_per_live_ad_per_day,spending_per_paid_ads,spending_per_live_ad,month_ex
15,2021-10-01,88,HN,MC,light,95455,11.0,0.0,4,0,7,0,0,0,0,1236.0,4.866141732283465,22.0,0.0866141732283464,23863.75,8677.727272727272,10
82,2021-12-01,515,HCM,MC,light,49587,3.0,3.0,3,3,0,0,0,0,0,794.0,18.904761904761905,13.0,0.3095238095238095,16529.0,16529.0,12
83,2022-01-01,515,HCM,MC,light,12397,3.0,0.0,1,0,1,0,0,0,0,166.0,11.066666666666666,5.0,0.3333333333333333,12397.0,4132.333333333333,1
84,2022-02-01,515,HCM,MC,light,16529,1.0,0.0,1,1,0,0,0,0,0,79.0,79.0,,,16529.0,16529.0,2
226,2021-10-01,1720,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,121.0,24.2,11.0,2.2,18182.0,18182.0,10
233,2021-10-01,1722,HCM,MC,light,57273,3.0,3.0,3,3,1,0,0,0,0,873.0,18.1875,27.0,0.5625,19091.0,19091.0,10
234,2021-11-01,1722,HCM,MC,light,77273,5.0,2.0,2,2,3,0,0,0,0,979.0,12.714285714285714,17.0,0.2207792207792207,38636.5,15454.6,11
235,2021-12-01,1722,HCM,MC,light,127273,4.0,1.0,3,1,8,0,0,0,0,1367.0,15.188888888888888,19.0,0.2111111111111111,42424.333333333336,31818.25,12
236,2022-01-01,1722,HCM,MC,light,127273,6.0,4.0,6,4,4,0,0,0,0,2138.0,19.43636363636364,62.0,0.5636363636363636,21212.166666666668,21212.166666666668,1
237,2022-02-01,1722,HCM,MC,light,18182,5.0,1.0,1,1,0,0,0,0,0,1528.0,13.05982905982906,112.0,0.9572649572649572,18182.0,3636.4,2
320,2021-11-01,2015,HCM,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,96.0,96.0,6.0,6.0,18182.0,18182.0,11
335,2021-10-01,2091,HCM,Car,light,21599,1.0,1.0,1,1,0,0,0,0,0,207.0,12.9375,2.0,0.125,21599.0,21599.0,10
336,2021-11-01,2091,HCM,Car,light,117696,2.0,1.0,2,1,5,0,0,0,0,1446.0,27.28301886792453,30.0,0.5660377358490565,58848.0,58848.0,11
337,2021-12-01,2091,HCM,Car,light,72727,2.0,0.0,2,0,4,0,0,0,0,1497.0,24.14516129032258,48.0,0.7741935483870968,36363.5,36363.5,12
370,2021-10-01,2235,HN,MC,light,18182,1.0,1.0,1,1,0,0,0,0,0,148.0,11.384615384615383,10.0,0.7692307692307692,18182.0,18182.0,10
417,2021-10-01,2479,HCM,MC,light,125207,4.0,3.0,3,3,6,0,0,0,0,1280.0,38.78787878787879,37.0,1.121212121212121,41735.66666666666,31301.75,10
418,2021-11-01,2479,HCM,MC,light,317521,6.0,5.0,6,5,17,0,0,0,0,3450.0,84.14634146341464,104.0,2.5365853658536586,52920.16666666666,52920.16666666666,11
